Trading_Day,P5_WorstCase,P25_LowerBand,P50_Median,P75_UpperBand,P95_BestCase
198,927350.69130306,1105235.1804608267,1242983.4811208984,1394790.0011311895,1647601.0193745664
199,928546.0633957323,1106398.7837714432,1244605.6555802017,1395005.4134566018,1650678.7497265069
200,928225.8922712372,1107019.7155719774,1246319.6782307497,1397093.084080325,1655319.369216907
201,928950.691999246,1108372.040032075,1246815.364189845,1399053.9404673774,1658968.327648867
202,928458.1092141871,1107699.7315363372,1247162.9394114823,1399906.6976798847,1663505.2638972884
203,929246.0127790851,1108520.973602875,1249194.1358526144,1401983.4529840392,1667455.337056427
204,930194.1452545597,1109313.713599325,1251192.38558197,1403330.2356737535,1671528.729979355
205,932230.6021005154,1109971.126027109,1251317.2829271746,1403956.6957937595,1674833.9062210028
206,931399.1410609222,1110349.2275870533,1253426.9307332626,1405519.8265128601,1680773.652092875
207,930739.095081129,1112557.7392899555,1254307.4590095035,1408921.7338312669,1682246.2656026436
208,931595.9372881711,1113091.641186413,1256134.6634193878,1412522.9497639153,1686040.2465558301
209,931057.3617495595,1113463.933296854,1257784.886295299,1412283.9140237896,1693107.2837736683
210,931093.5190305437,1114596.451279833,1258382.3849705223,1415946.3286636157,1690404.8208793926
211,931925.7839132722,1114744.0256101107,1259146.6523885764,1418934.8354852393,1691520.2921440338
212,933094.8371295229,1115626.6660247168,1260731.2979507686,1421583.3222295993,1697797.453029731
213,932885.8834799867,1117408.4707976263,1262191.9813758533,1423590.9100658407,1696726.96224737
214,932875.8377801568,1119055.3342839438,1263864.772768204,1423833.1539504465,1701004.4432467292
215,934099.1975233679,1119474.1736593475,1265014.1134106936,1427121.030748432,1703786.623065639
216,933869.745688729,1120019.374680468,1266151.7961511011,1429233.5401760072,1707406.8073852186
217,933263.5155164398,1120282.4223170406,1267166.8164538206,1432309.1119267265,1712511.7118055422
218,935131.6951223537,1120699.5327026153,1269286.8289862326,1434075.75654886,1712972.301320849
219,937293.0561985972,1121527.991117925,1270032.2781106916,1436364.1697343672,1716371.537445986
220,936330.1113499836,1122038.8992468682,1272089.2478808672,1439026.1848411676,1720451.759796258
221,937104.3621846886,1122499.4952866742,1274424.5105312744,1440696.1530018533,1721732.3334768505
222,936928.7144765157,1123847.4391886448,1274887.7683265298,1442526.3433226773,1721737.820895441
223,935190.8630331914,1125630.0971574257,1276640.2750284267,1443300.442657852,1725807.3454019122
224,936627.2431434154,1126076.4136906643,1278664.2887148124,1446707.9142314664,1729633.707960912
225,936025.0988249497,1127788.0797290304,1279296.6307022348,1446406.3008672325,1738768.2770631001
226,934874.1580742756,1128966.5373748327,1280938.4225181194,1449966.9632138913,1736327.0679737052
227,938466.3602515259,1130225.9440335704,1282015.2537338878,1452424.5062901562,1745150.8652545086
228,938025.2697156077,1130720.2595960088,1284191.9116990203,1454060.1991144714,1745612.7749130235
229,940283.5516423293,1130695.5077785184,1285127.654415036,1456163.640315431,1751263.6842109498
230,941678.696663707,1131903.3700062155,1286754.8256252217,1456633.9888108312,1753193.1079307136
231,941675.0143689893,1132838.6379259764,1287672.936381156,1459292.8322228875,1759134.9171751407
232,942236.2104609379,1132197.5584521228,1289934.7641646117,1461073.9052164233,1763131.2643398156
233,942856.0907369986,1134481.9609015519,1292154.1314579877,1463256.2494022914,1763482.5120837323
234,943047.3347167891,1134739.71210061,1293051.6062277576,1466323.8328088429,1768956.9163283121
235,943999.014810817,1136345.9334551382,1294625.5658312277,1469010.3985672963,1767349.530865883
236,943781.141037683,1137268.965892269,1295202.992896041,1471342.0894907217,1770046.263067038
237,946081.8634409724,1138943.9928361923,1297123.7875028718,1474034.131339344,1771980.9889606286
238,945858.0937865997,1138981.117674577,1299235.68281938,1475023.9553461696,1773889.3253877934
239,946419.3608095084,1139402.361947402,1300135.1665470102,1479278.1244459888,1779181.8691811103
240,947413.6668733453,1141049.4108022582,1301720.3809458376,1479767.244378315,1781792.083642037
241,946575.4536576053,1142373.7152249126,1302226.7464713927,1481738.808743246,1783992.0437588978
242,947994.4837245856,1142245.848968984,1303318.4593979898,1483242.8694065374,1794400.6960525445
243,947758.5517680461,1143844.5599251504,1305820.1550444337,1485696.1448909892,1794114.021696274
244,946917.7548442219,1144362.4805152128,1307521.4481693208,1486841.6359804375,1802720.839773478
245,948352.8164671743,1145067.4703090715,1307684.4460940699,1488773.2128296867,1804435.6930416396
246,945551.4508228425,1145729.2975241407,1309748.9503707106,1492535.0649236352,1808832.598190547
247,945286.9075267412,1147836.554156986,1311647.8635720029,1494363.0766035672,1806552.5813249375
248,945773.1750198911,1148414.6596819942,1313496.9116820083,1496574.6555407627,1811897.2123662375
249,946352.5700379482,1149315.1654541944,1313847.9841979528,1496578.0014923871,1811527.1554575886
250,947385.0107774908,1151049.9033560369,1315649.2923831516,1498702.7643213763,1818839.930255685
251,945660.7201405938,1151412.8663347373,1315662.4848241257,1502193.2931042963,1821496.286260283
252,947310.8801180006,1152560.8145675445,1316390.180409595,1503105.9335901272,1822844.3939463645
