Date,Close,High,Low,Open,Volume,Returns
19-04-2021,248.2764282,250.9056413,247.3936498,249.6678013,23209300,-0.007670514
20-04-2021,247.8158569,249.6774048,246.4532695,247.3936484,19722900,-0.001855075
21-04-2021,250.0420685,250.1380303,246.8467474,248.4684057,24030400,0.00898333
22-04-2021,246.7699738,251.1935298,245.301834,249.6870141,25606200,-0.013086177
23-04-2021,250.588974,250.9344307,246.8658782,247.4512248,21462600,0.015475952
26-04-2021,250.9728088,251.826831,249.6486412,251.0783756,19763300,0.001531731
27-04-2021,251.3758545,252.5465185,249.6006632,251.0016122,31014200,0.001605934
28-04-2021,244.2655029,246.1654416,242.7206113,245.7240231,46903100,-0.028285738
03-05-2021,241.6746521,244.0639605,240.9645728,243.1523673,19626600,-0.002574237
04-05-2021,237.7693024,241.0510096,235.8213973,240.82071,32756100,-0.016159534
05-05-2021,236.5026855,239.4101503,235.8789776,238.9879417,21901300,-0.005327083
06-05-2021,239.6308441,239.7555916,234.7946696,236.4834894,26491100,0.013226736
07-05-2021,242.250473,244.0160595,241.0126327,241.9529972,27032900,0.010931935
10-05-2021,237.1839142,241.5499129,237.126343,240.7246911,29299900,-0.020914547
11-05-2021,236.2723694,236.6274164,232.7603922,234.6603162,33641600,-0.003843198
12-05-2021,229.3347626,234.4971983,228.4423791,232.376565,36684400,-0.029362751
13-05-2021,233.2017822,235.6678576,231.6568906,232.0215279,29624300,0.016861899
14-05-2021,238.1147003,239.1030455,235.562283,235.6486398,23901100,0.021067241
17-05-2021,235.264801,236.6177835,233.6719433,236.5794076,24970200,-0.011968599
18-05-2021,233.2497253,236.4450602,233.076997,236.3107225,20168000,-0.008565139
19-05-2021,233.826828,233.9326239,229.4796138,230.1624661,25739800,0.002474184
20-05-2021,237.0583801,238.472191,234.5385334,234.6347169,21800700,0.01382028
21-05-2021,235.7984314,238.8376446,235.3848751,238.1067008,21863100,-0.00531493
24-05-2021,241.1940308,241.5595101,238.0490211,238.3183171,21411500,0.022882253
25-05-2021,242.0980682,243.0886956,241.2324764,242.1461599,17704300,0.003748175
26-05-2021,241.8768616,243.2714327,241.1651426,241.8191427,17771600,-0.000913707
27-05-2021,239.7801666,241.867217,239.7224625,241.569069,24426200,-0.00866844
01-06-2021,237.9432068,241.6845122,237.520038,241.626808,23213300,-0.009131785
02-06-2021,237.8470459,239.7417445,236.4428474,238.6453212,19406700,-0.000404134
04-06-2021,241.203598,242.0307253,238.0489765,238.2894203,25281100,0.020674584
07-06-2021,244.1081848,244.3774807,240.2610836,240.4245837,23079200,0.012042054
08-06-2021,242.9155731,246.2240822,242.8578543,245.4065674,22455000,-0.004885587
09-06-2021,243.8965912,245.7624376,243.5311266,244.1081829,17937600,0.004038515
10-06-2021,247.4070892,247.618681,243.9735588,244.5698548,24563600,0.014393387
11-06-2021,248.0322418,248.6092835,246.8011413,248.1283959,18999700,0.002526818
14-06-2021,249.95578,250.0134842,246.9838687,248.0418274,19150500,0.007755194
16-06-2021,247.541748,250.6194116,244.6948865,249.4845237,27220000,-0.009657836
17-06-2021,250.9271698,251.7446847,246.2241038,246.281808,27565500,0.013676165
18-06-2021,249.513382,252.2736726,248.8593817,249.7057488,37202200,-0.005634256
22-06-2021,255.3609619,255.6302578,252.3698256,252.6776007,24694100,0.023435937
23-06-2021,255.1301575,256.6305248,254.3222696,255.822637,19518700,-0.000903836
24-06-2021,256.4957886,257.6114511,255.3224218,255.986049,21446900,0.005352684
28-06-2021,258.4482422,258.6213547,255.7456561,256.014952,19590000,0.013961251
29-06-2021,261.0258179,261.2662617,257.7365627,258.5925275,19937800,0.009973276
01-07-2021,261.2181702,261.4489868,259.2946196,259.3042174,16725300,0.000736909
06-07-2021,267.0465088,268.6911362,263.8149288,267.4023609,31565600,3.60E-05
08-07-2021,266.8157349,268.0756582,264.3631901,266.3155929,24618600,-0.000864171
09-07-2021,267.3158875,267.4216687,264.7960403,265.1807446,23916700,0.001874524
13-07-2021,270.2396851,272.0382005,266.7869146,266.9119208,26120100,0.013197914
14-07-2021,271.7111816,272.8172175,269.8260807,271.5572941,23113700,0.005445154
15-07-2021,270.2876587,271.7110964,269.1335168,271.2205817,22604200,-0.005239103
19-07-2021,266.4213867,269.6529377,263.9592443,268.2679789,32935600,-0.013321483
21-07-2021,270.6435852,270.7589936,266.6907025,268.2391468,24364300,0.007446639
22-07-2021,275.2023926,275.4716885,272.5863626,272.9902918,23384100,0.016844321
23-07-2021,278.5974731,278.9052189,275.5486324,276.3853723,22768100,0.012336668
26-07-2021,278.0011902,278.6167406,275.6833371,277.9531132,23176100,-0.002140303
28-07-2021,275.2793579,279.0591282,272.9807006,277.9434652,33566900,-0.009790722
29-07-2021,275.5486145,277.5875734,275.144656,275.2985435,18168300,0.000978121
30-07-2021,274.0194702,275.7025774,273.0576947,274.2695412,20944800,-0.005549454
02-08-2021,273.9328308,275.8082749,272.8940971,275.4139435,16267400,-0.00031618
03-08-2021,276.144928,276.2507385,273.1441936,274.5099275,17879000,0.008075327
04-08-2021,275.5582581,276.5969625,273.7693407,275.279335,16191300,-0.0021245
05-08-2021,278.4531555,278.5589661,275.1639006,275.9140842,13900200,0.010505573
06-08-2021,278.3954773,278.4339565,276.6258142,277.4818083,16589300,-0.000207138
09-08-2021,277.3085938,280.4055107,276.8084813,278.6743273,16117600,-0.003904099
10-08-2021,275.4909058,278.1934919,274.2983138,277.7606813,18616600,-0.006554748
11-08-2021,275.9813843,277.6260115,274.9330236,276.2314259,13955900,0.00178038
12-08-2021,278.7320862,278.8859737,275.3947249,275.6736479,14561300,0.009966984
13-08-2021,281.6559143,281.7039913,278.2415942,278.4147361,18249000,0.010489744
16-08-2021,283.3390198,283.5506115,278.9340723,281.982913,22507600,0.00597575
17-08-2021,281.8770752,282.2137024,279.9535247,281.2134773,20075300,-0.005159701
24-08-2021,291.6096191,294.5293759,291.0121816,293.9222928,18175800,-0.006663607
25-08-2021,291.0218506,293.5079684,289.4897038,293.2285114,20006100,-0.002015601
27-08-2021,288.815155,289.9233082,286.0302891,288.1117044,22605700,0.002106416
31-08-2021,290.8965759,293.4212466,290.5303969,293.3441703,26285300,-0.005632327
01-09-2021,290.8483887,294.0861558,290.5207626,291.8505582,18983800,-0.000165651
02-09-2021,290.1930847,292.3226688,289.2583756,291.2048996,16285600,-0.002253077
03-09-2021,290.1835632,291.5904355,289.3355758,290.0389972,14747900,-3.28E-05
08-09-2021,289.287323,289.6727637,286.647023,288.8729749,15046800,9.98E-05
09-09-2021,286.434967,291.1470652,286.1940629,289.8750846,19927000,-0.009859941
10-09-2021,284.9510193,289.0078658,284.6330388,287.5624411,19633400,-0.005180749
13-09-2021,286.1845398,287.6781635,283.3804114,286.7241628,23652900,0.004328886
14-09-2021,288.8825684,290.4243605,287.2540543,288.660926,21853400,0.009427583
15-09-2021,293.7296143,294.2114225,290.8387645,292.2263747,28356300,0.016778603
17-09-2021,288.9596863,293.4212356,288.6320602,293.103255,41372500,-0.017528396
20-09-2021,283.5923157,287.8515134,278.9862301,285.5484559,38278700,-0.018574808
21-09-2021,284.0741272,286.7144564,283.370706,284.93176,22364100,0.001698958
23-09-2021,288.6610107,289.9522536,286.7048701,287.9768511,18604600,0.016146784
24-09-2021,288.4586182,288.892228,286.1266532,287.3793723,14999000,-0.000701143
27-09-2021,283.4671631,285.6834699,282.2819039,285.3654893,23571700,-0.017303886
28-09-2021,273.2045288,280.2003937,272.4625547,279.256039,43186200,-0.036203962
29-09-2021,273.6670532,276.33626,272.7130824,274.7270371,26353700,0.00169296
30-09-2021,271.6628113,277.3577596,271.3737086,275.3148971,32343600,-0.007323651
01-10-2021,278.581604,279.4295914,271.0557597,271.8555486,30086300,0.02546831
05-10-2021,278.2539368,279.8342527,273.7152814,273.7152814,24993000,0.019956997
07-10-2021,284.122345,285.8472268,283.2261886,284.4403255,20430500,0.005936352
11-10-2021,283.5249634,287.1288806,282.0988,282.2626278,19298600,-0.002102551
12-10-2021,282.2239685,284.6908241,281.713253,284.5944566,17974100,-0.004588643
13-10-2021,285.5292358,286.4639451,282.8118299,284.1801785,23416300,0.011711505
14-10-2021,291.7349548,292.2360249,286.9939477,288.3237435,27262900,0.021734093
15-10-2021,293.1417847,293.3730726,289.5860372,291.3398264,25384800,0.004822288
18-10-2021,296.1097107,296.9962214,291.6770691,292.5250563,22729300,0.010124541
19-10-2021,297.015564,298.0466114,296.0423018,297.1311933,17682100,0.003059181
20-10-2021,296.2254028,298.4320932,294.9726835,297.9599011,16537100,-0.002660336
